identity,comparison,gene_set_lib,pathway
CD4,ICA_vs_DMSO,GO_BP,GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE
CD4,ICA_vs_DMSO,WIKIPATHWAYS,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586
CD4,ICA_vs_DMSO,GO_BP,GOBP_T_CELL_MEDIATED_CYTOTOXICITY
CD4,ICA_vs_DMSO,WIKIPATHWAYS,REACTOME_INTERFERON_GAMMA_SIGNALING
CD4,IVA_vs_DMSO,HALLMARK,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD4,IVA_vs_DMSO,REACTOME,REACTOME_TRANSLATION
CD4,IVA_vs_DMSO,REACTOME,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES
CD4,IVA_vs_DMSO,KEGG,KEGG_ALLOGRAFT_REJECTION
CD4,IVA_vs_DMSO,WIKIPATHWAYS,WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION
CD4,VA_vs_DMSO,HALLMARK,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD4,VA_vs_DMSO,HALLMARK,HALLMARK_IL2_STAT5_SIGNALING
CD4,VA_vs_DMSO,HALLMARK,HALLMARK_ALLOGRAFT_REJECTION
CD4,VA_vs_DMSO,REACTOME,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES
CD8,ICA_vs_DMSO,GO_BP,GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE
CD8,ICA_vs_DMSO,WIKIPATHWAYS,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586
CD8,ICA_vs_DMSO,GO_BP,GOBP_T_CELL_MEDIATED_CYTOTOXICITY
CD8,ICA_vs_DMSO,REACTOME,REACTOME_INTERFERON_GAMMA_SIGNALING
CD8,IVA_vs_DMSO,REACTOME,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES
CD8,IVA_vs_DMSO,HALLMARK,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD8,IVA_vs_DMSO,REACTOME,REACTOME_TRANSLATION
CD8,IVA_vs_DMSO,GO_BP,GOBP_T_CELL_ACTIVATION
CD8,IVA_vs_DMSO,GO_BP,GOBP_T_CELL_MEDIATED_CYTOTOXICITY
CD8,IVA_vs_DMSO,KEGG,KEGG_ALLOGRAFT_REJECTION
CD8,VA_vs_DMSO,GO_BP,GOBP_T_CELL_ACTIVATION
CD8,VA_vs_DMSO,HALLMARK,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD8,VA_vs_DMSO,REACTOME,REACTOME_INTERFERON_GAMMA_SIGNALING
CD8,VA_vs_DMSO,REACTOME,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES
CD8,VA_vs_DMSO,GO_BP,GOBP_T_CELL_MEDIATED_CYTOTOXICITY
CD8,VA_vs_DMSO,REACTOME,REACTOME_GLUCOSE_METABOLISM
