group,feature
T,CD3D
T,CD3E
T,CD2
T,CD7
T_CD4,CD4
T_CD8,CD8A
T_CD8,CD8B
Treg,FOXP3
Treg,CXCR3
Treg,CTLA4
Treg,CD25
Treg,TIGIT
Treg,IKZF2
T_naive,CCR7
T_naive,SELL
T_naive,TCF7
T_naive,LEF1
T_naive,IL7R
T_naive,CD3E
T_naive,FOXP1
T_central_memory,CCR7
T_central_memory,SELL
T_central_memory,IL7R
T_central_memory,TCF7
T_central_memory,CD27
T_central_memory,BCL2
T_central_memory,CD28
T_central_memory,PASK
T_effector_memory,GZMK
T_effector_memory,PRDM1
T_effector_memory,CXCR3
T_effector_memory,IFNG
T_effector_memory,TNF
T_effector_memory,EOMES
T_effector_memory,CD27
T_effector_memory,KLRG1
T_effector,GZMB
T_effector,GZMH
T_effector,PRF1
T_effector,IFNG
T_effector,GNLY
T_effector,CX3CR1
T_effector,KLRG1
T_effector,HLA-DRA
T_effector,CD38
T_effector,TBX21
T_effector,TNF
T_effector,CCL4
T_effector,CCL5
T_effector,NKG7
NK,NCR1
NK,NCAM1
NK,CD244
NK,KLRB1
NK,KLRC1
NK,KLRD1
NK,KLRF1
NK,KIR2DL3
NK,KIR2DL4
NK,NKG7
NK,XCL1
NK,PRF1
NK,GNLY
NK,GZMH
NK,GZMB
NK,GZMA
